Loss,Accuracy,Batch
0.41108453,0.84655005,1250
0.44224513,0.8121622,1260
0.46493104,0.82014847,1270
0.42930594,0.8251499,1280
0.47558364,0.8074114,1290
0.36035466,0.8608873,1300
0.41628942,0.83467615,1310
0.43138134,0.84141344,1320
0.38951457,0.84120756,1330
0.422633,0.8291674,1340
0.43266553,0.83282113,1350
0.4397154,0.8195174,1360
0.36799967,0.85803664,1370
0.3990777,0.8439664,1380
0.41111457,0.83631843,1390
0.38374653,0.8488834,1400
0.37098062,0.8528803,1410
0.39548862,0.8459261,1420
0.4110754,0.8338156,1430
0.41964623,0.829756,1440
0.38541272,0.8380552,1450
0.3390736,0.8653641,1460
0.407076,0.8404003,1470
0.37836552,0.8478639,1480
0.42159584,0.83216095,1490
0.41187537,0.8352003,1500
0.3616873,0.8518602,1510
0.37528723,0.8538595,1520
0.42697507,0.8277805,1530
0.42752725,0.8292544,1540
0.410277,0.82688177,1550
0.3697704,0.8554117,1560
0.43620062,0.8238001,1570
0.40984735,0.8342876,1580
0.33894694,0.8743656,1590
0.3852639,0.8537838,1600
0.43390587,0.8311527,1610
0.41768023,0.84012467,1620
0.4349593,0.82089114,1630
0.4429656,0.8291743,1640
0.34471217,0.8647795,1650
0.35803416,0.8658027,1660
0.4233349,0.8320482,1670
0.4480995,0.81360626,1680
0.43490866,0.8292714,1690
0.4992007,0.79721683,1700
0.41191056,0.82728404,1710
0.3819359,0.8484915,1720
0.3603456,0.8552815,1730
0.50140905,0.7966744,1740
0.4673586,0.81023085,1750
0.39760035,0.8450718,1760
0.42105988,0.83773035,1770
0.37517223,0.8452623,1780
0.4558791,0.8201019,1790
0.43789646,0.8209293,1800
0.41365606,0.8318296,1810
0.36635455,0.8563852,1820
0.3617973,0.85666376,1830
0.3621642,0.8514942,1840
0.37961653,0.85278326,1850
0.38908654,0.8405172,1860
0.44911546,0.8276201,1870
0.36548892,0.85279983,1880
0.36077687,0.8547142,1890
0.3254112,0.86989045,1900
0.39633033,0.8491083,1910
0.32368502,0.8758881,1920
0.46194676,0.8232235,1930
0.41152003,0.8413982,1940
0.5176742,0.79900384,1950
0.4077985,0.84551054,1960
0.35789654,0.8635899,1970
0.40004587,0.8426723,1980
0.38705003,0.84372747,1990
0.3671622,0.85745966,2000
0.43085372,0.82413733,2010
0.45108327,0.82445276,2020
0.34476793,0.8614283,2030
0.47950813,0.80554545,2040
0.39222872,0.85118717,2050
0.46865845,0.8177897,2060
0.35177577,0.86738914,2070
0.4409544,0.82329535,2080
0.4367382,0.81825197,2090
0.44338676,0.82340413,2100
0.4214989,0.829585,2110
0.43765423,0.822833,2120
0.39998922,0.8333306,2130
0.34631175,0.8629725,2140
0.35404447,0.8641872,2150
0.41655415,0.8308687,2160
0.4025377,0.84228605,2170
0.3923287,0.8443251,2180
0.3770008,0.8504576,2190
0.33302295,0.86586803,2200
0.4095377,0.83120275,2210
0.36369908,0.8616928,2220
0.44021025,0.8270584,2230
0.38539183,0.84518313,2240
0.3725565,0.84449786,2250
0.382065,0.8452751,2260
0.41535604,0.8293791,2270
0.33308932,0.8741799,2280
0.3547139,0.86382985,2290
0.3712498,0.8534084,2300
0.37873614,0.8509693,2310
0.34764668,0.86510473,2320
0.46504623,0.80581355,2330
0.33871356,0.8641951,2340
0.30351144,0.8770382,2350
0.38478926,0.84794134,2360
0.386708,0.8408067,2370
0.32987055,0.8712589,2380
0.3488014,0.8667984,2390
0.41452277,0.83698195,2400
0.37070405,0.84892964,2410
0.39984167,0.83848387,2420
0.46014535,0.8164646,2430
0.347488,0.8621672,2440
0.4105096,0.832284,2450
0.38698006,0.85326135,2460
0.31556842,0.87414354,2470
0.38003623,0.844368,2480
0.30729693,0.8825596,2490
0.39661953,0.83871293,2500
0.40341398,0.84298784,2510
0.44264737,0.8289274,2520
0.44887847,0.82522064,2530
0.3415983,0.8674446,2540
0.3998453,0.83886623,2550
0.3542319,0.85375214,2560
0.38890317,0.83953136,2570
0.35576627,0.8607708,2580
0.43359557,0.823065,2590
0.304352,0.8768334,2600
0.40299323,0.8455618,2610
0.39719093,0.84206355,2620
0.39405984,0.8419309,2630
0.4256832,0.82863367,2640
0.4157053,0.8308089,2650
0.33865073,0.86540586,2660
0.43617105,0.82841206,2670
0.33441776,0.86929035,2680
0.34959942,0.85894006,2690
0.44886655,0.82933253,2700
0.36700374,0.85116154,2710
0.40836743,0.8382707,2720
0.33564016,0.86633676,2730
0.4323307,0.81718117,2740
0.3513502,0.86867124,2750
0.4227647,0.821769,2760
0.35473645,0.86106414,2770
0.3489571,0.86926496,2780
0.35841385,0.858156,2790
0.37838098,0.8598024,2800
0.35070464,0.8584452,2810
0.3355507,0.8726863,2820
0.42974636,0.8283993,2830
0.3368921,0.86649895,2840
0.36506462,0.8545527,2850
0.38200617,0.85097563,2860
0.41332957,0.8299469,2870
0.39503995,0.8397459,2880
0.37329742,0.8487262,2890
0.34118855,0.86960787,2900
0.34884086,0.87011427,2910
0.33740667,0.8699411,2920
0.37308928,0.8538851,2930
0.40648708,0.8422409,2940
0.40370724,0.8380293,2950
0.43292496,0.82671887,2960
0.32466638,0.8664961,2970
0.28771776,0.89131665,2980
0.32791245,0.87380195,2990
