Loss,Accuracy,Batch
0.16109602,0.9289302,1450
0.10705588,0.9550928,1460
0.13451442,0.94390124,1470
0.13697185,0.93868834,1480
0.12639649,0.94644046,1490
0.11155863,0.9518907,1500
0.13149619,0.94316953,1510
0.09350621,0.9612693,1520
0.11267415,0.95234334,1530
0.12966925,0.9445245,1540
0.115382366,0.95121115,1550
0.14242496,0.93768793,1560
0.1249614,0.94607216,1570
0.12627836,0.9457769,1580
0.12582983,0.9461148,1590
0.12032694,0.9506121,1600
0.124351196,0.948616,1610
0.10301319,0.95692116,1620
0.12785034,0.9456364,1630
0.09771609,0.9604515,1640
0.11126814,0.9513874,1650
0.13056831,0.9442682,1660
0.11558442,0.9530313,1670
0.11317723,0.9536467,1680
0.12807477,0.9490692,1690
0.12044769,0.94693875,1700
0.11759972,0.9496672,1710
0.13441388,0.94424635,1720
0.11492517,0.95224136,1730
0.1286445,0.9421555,1740
0.12884523,0.94315344,1750
0.12847443,0.9450516,1760
0.123676606,0.9471203,1770
0.13133568,0.9426605,1780
0.12943421,0.9466932,1790
0.11985948,0.9482723,1800
0.13142492,0.94524837,1810
0.1282836,0.9463568,1820
0.13275942,0.9419832,1830
0.12260297,0.94482285,1840
0.13599692,0.94061756,1850
0.14565472,0.93411845,1860
0.12530544,0.9444109,1870
0.14049704,0.93957657,1880
0.141315,0.9410824,1890
0.12778261,0.9415531,1900
0.14304136,0.9381254,1910
0.10986159,0.9531173,1920
0.15818547,0.93123764,1930
0.1296579,0.9430758,1940
0.14342937,0.93336844,1950
0.13667999,0.938481,1960
0.1191119,0.9470818,1970
0.12015982,0.9487736,1980
0.12595855,0.94642276,1990
0.11952891,0.9485557,2000
0.12653185,0.94311637,2010
0.11608682,0.9491748,2020
0.11298578,0.9503101,2030
0.11049709,0.95176774,2040
0.10941923,0.95248413,2050
0.1235156,0.9424438,2060
0.12691726,0.9433951,2070
0.12555093,0.94287336,2080
0.119110435,0.94992656,2090
0.12519522,0.9436871,2100
0.13183485,0.94246924,2110
0.1173651,0.9495748,2120
0.10882267,0.9523748,2130
0.124179624,0.94399035,2140
0.10782885,0.9544308,2150
0.13058148,0.9423805,2160
0.15237047,0.9339624,2170
0.15190567,0.9326059,2180
0.14090091,0.9388028,2190
0.123289585,0.94766176,2200
0.1250329,0.94607776,2210
0.13399492,0.9409355,2220
0.14328869,0.93878007,2230
