Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.50841504,0.79558927,0.6835208,0.92696023,0.7864407,1185
0.48518148,0.8019125,0.69346493,0.93479896,0.79573125,1190
0.48137936,0.8089983,0.6959676,0.93203515,0.79670006,1195
0.5030805,0.79574066,0.6792467,0.9369614,0.78597754,1200
0.445282,0.8272846,0.72999257,0.9302113,0.8167078,1205
0.47136608,0.8093768,0.7126195,0.93080217,0.8061455,1210
0.5077394,0.8016966,0.68089986,0.9279833,0.78493285,1215
0.49497104,0.8020765,0.6904374,0.930212,0.79221076,1220
0.47767547,0.8092205,0.70042825,0.9328744,0.7996683,1225
0.47493646,0.81025344,0.7026966,0.9329915,0.80134946,1230
0.46841773,0.8190017,0.70857257,0.9369373,0.8062181,1235
0.5025134,0.8042588,0.6862065,0.9277503,0.7885023,1240
0.471835,0.8102886,0.71663445,0.9347522,0.81091785,1245
0.46029282,0.8240514,0.72283006,0.9206314,0.809345,1250
0.44564727,0.82289594,0.72072715,0.9410128,0.81524634,1255
0.46018958,0.81606054,0.7144839,0.93129843,0.8083213,1260
0.5153997,0.7917264,0.6885131,0.9235284,0.78866225,1265
0.44898868,0.82262087,0.7298514,0.9283913,0.8170726,1270
0.4789774,0.81368905,0.6958445,0.9356308,0.7973666,1275
0.553227,0.7841825,0.6567107,0.9207685,0.76625943,1280
0.44228372,0.8270505,0.73140925,0.9338694,0.8193223,1285
0.438521,0.825227,0.7336163,0.92977065,0.81929654,1290
0.46543813,0.8188469,0.71115893,0.9349839,0.8072319,1295
0.463855,0.8185761,0.71227986,0.9346692,0.8079157,1300
0.4922639,0.7998863,0.6945536,0.92555684,0.7932845,1305
0.44377956,0.8278575,0.72258997,0.93552065,0.8152761,1310
0.4723817,0.8090411,0.7096653,0.9304149,0.8034015,1315
0.5244878,0.80080503,0.67313695,0.9246666,0.7785435,1320
0.43738326,0.8324132,0.7209627,0.9367118,0.8145456,1325
0.5043292,0.798711,0.69312173,0.92344016,0.79133767,1330
0.46423435,0.8219908,0.7091072,0.93501514,0.80625224,1335
0.45882985,0.8243792,0.72098047,0.9296382,0.81160975,1340
0.47868958,0.8132474,0.71498996,0.92121977,0.80457777,1345
0.46191207,0.8181111,0.724302,0.92901605,0.81379503,1350
0.50110644,0.80471927,0.6937931,0.9225264,0.79089123,1355
0.44674066,0.81978625,0.7220855,0.92874223,0.8118291,1360
0.48735976,0.807163,0.70095307,0.92498606,0.7968087,1365
0.4954711,0.80277425,0.7070403,0.9208397,0.79972655,1370
0.42935708,0.8355978,0.7389372,0.93864244,0.82641345,1375
0.52535397,0.7852106,0.6876959,0.912196,0.7834835,1380
0.47405073,0.80716443,0.7210119,0.92391413,0.8097938,1385
0.44317317,0.82482314,0.73999864,0.92587453,0.8222173,1390
0.48581257,0.80685455,0.70751053,0.9214628,0.80015063,1395
0.48828962,0.80470634,0.7023225,0.92441183,0.7977428,1400
0.49507412,0.80457807,0.70054406,0.920806,0.79494363,1405
0.4976515,0.803955,0.69088537,0.9231606,0.79026055,1410
0.4659852,0.81901854,0.7292631,0.92006177,0.8133871,1415
0.479341,0.81306076,0.7107685,0.9251871,0.8036093,1420
0.49299255,0.8073521,0.7106493,0.91776633,0.8007908,1425
0.5094133,0.7962292,0.69433635,0.91865224,0.7906108,1430
0.47681224,0.80691606,0.7170155,0.92255974,0.8067866,1435
0.4583478,0.8200009,0.72788554,0.9287254,0.81579214,1440
0.44086942,0.82906455,0.7393401,0.93081206,0.82353705,1445
0.47270665,0.8123031,0.71922904,0.92342156,0.80815345,1450
0.49871847,0.8009176,0.696712,0.9261028,0.7943863,1455
0.44534722,0.82185817,0.7411575,0.92394286,0.82229805,1460
0.44506934,0.82267123,0.7335548,0.9210251,0.81638175,1465
0.46600148,0.82131535,0.72761345,0.9215517,0.81278545,1470
0.49679908,0.79723734,0.69515705,0.9198268,0.7916374,1475
0.46287957,0.81603414,0.72335345,0.9279406,0.81252116,1480
0.46715045,0.81866616,0.7230921,0.9179365,0.80851775,1485
0.43194464,0.82873034,0.74214506,0.92899555,0.82507277,1490
0.4516972,0.8222022,0.7344544,0.9182407,0.81562567,1495
0.49122444,0.8044761,0.70200396,0.92816037,0.79891294,1500
0.46814045,0.8182175,0.71882015,0.916904,0.80558234,1505
0.47087005,0.81589633,0.71519667,0.91893345,0.8038934,1510
0.48539945,0.80846214,0.71491796,0.91816354,0.8037681,1515
0.4574618,0.8156546,0.72979385,0.9282573,0.8161719,1520
0.46941528,0.82091737,0.7296178,0.9128168,0.810576,1525
0.46039477,0.81372494,0.7288478,0.9225755,0.8142827,1530
0.5173243,0.79268426,0.7030082,0.90643764,0.7917002,1535
0.46428046,0.81640846,0.7267819,0.9179327,0.80973864,1540
0.4852531,0.80720454,0.7120128,0.91902494,0.802299,1545
0.43176413,0.8303912,0.7500243,0.9253488,0.82831305,1550
0.46546793,0.8158779,0.720301,0.9261053,0.8101206,1555
0.47001243,0.8096302,0.71691746,0.9205384,0.8059078,1560
