Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.2036487,0.9214022,0.9214022,0.9214022,0.9214022,285
0.20836405,0.9201316,0.9201316,0.9201316,0.9201316,290
0.2100706,0.9205629,0.9205628,0.9205629,0.9205628,295
0.1889738,0.92398375,0.92398375,0.92398375,0.92398375,300
0.18817979,0.92663884,0.92663884,0.92663884,0.9266389,305
0.18256275,0.9263077,0.9263077,0.9263077,0.9263077,310
0.18483067,0.93195766,0.93195766,0.93195766,0.93195766,315
0.20045768,0.93475294,0.93475294,0.934753,0.93475294,320
0.18284023,0.93939716,0.93939716,0.9393973,0.93939716,325
0.18645184,0.9379434,0.9379434,0.93794346,0.93794346,330
0.20015927,0.93045497,0.9304549,0.93045497,0.9304549,335
0.1982969,0.9299238,0.9299238,0.9299238,0.9299238,340
0.19501142,0.92961854,0.92961854,0.92961854,0.92961854,345
0.18042047,0.93955296,0.93955296,0.93955296,0.93955296,350
0.18204404,0.94137543,0.94137543,0.94137543,0.94137543,355
0.1774403,0.9406946,0.9406946,0.9406946,0.9406946,360
0.2106921,0.9272167,0.9272167,0.9272167,0.9272167,365
0.22114384,0.9176016,0.9176016,0.9176016,0.9176016,370
0.23012835,0.9158468,0.9158468,0.9158468,0.9158468,375
0.20042129,0.91686076,0.91686076,0.91686076,0.91686076,380
0.20207997,0.92971057,0.92971057,0.92971057,0.92971057,385
0.20356804,0.9320686,0.9320686,0.9320686,0.9320686,390
0.19259052,0.9324108,0.9324108,0.9324108,0.9324108,395
0.19789104,0.9326288,0.9326288,0.93262887,0.93262887,400
0.20666182,0.92924374,0.92924374,0.92924374,0.92924374,405
0.20713042,0.92834383,0.92834383,0.92834383,0.92834383,410
0.18669887,0.93490124,0.93490124,0.93490124,0.93490124,415
0.16995138,0.9390574,0.9390574,0.9390574,0.9390574,420
0.17123921,0.93959975,0.93959975,0.9395998,0.93959975,425
0.16578831,0.9422762,0.9422762,0.9422762,0.9422762,430
0.17603453,0.94388056,0.94388056,0.94388056,0.94388056,435
0.17971142,0.93964547,0.93964547,0.93964547,0.93964547,440
0.18011993,0.9396489,0.9396489,0.9396489,0.9396489,445
0.20004654,0.9281153,0.9281153,0.9281153,0.9281153,450
0.21701364,0.92672664,0.92672664,0.92672664,0.92672664,455
0.19681202,0.932043,0.932043,0.932043,0.932043,460
0.19965546,0.93064713,0.93064713,0.93064713,0.93064713,465
0.182289,0.9359105,0.9359105,0.9359105,0.9359105,470
0.19162445,0.9333186,0.9333186,0.9333186,0.9333186,475
0.1928435,0.933156,0.933156,0.933156,0.933156,480
0.20277198,0.9298196,0.9298196,0.9298196,0.9298196,485
0.190542,0.93563277,0.93563277,0.93563277,0.93563277,490
0.18898028,0.930804,0.930804,0.930804,0.930804,495
0.1645226,0.9331358,0.9331358,0.9331358,0.9331358,500
0.15227449,0.9377516,0.9377516,0.9377516,0.9377516,505
0.16865943,0.9285886,0.9285886,0.9285886,0.9285886,510
0.17300867,0.9380779,0.9380779,0.9380779,0.9380779,515
0.16073783,0.94462633,0.94462633,0.94462633,0.94462633,520
0.16585384,0.94161266,0.94161266,0.94161266,0.94161266,525
0.16968991,0.92598605,0.92598605,0.92598605,0.92598605,530
