Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.42129806,0.83536726,0.7754309,0.89476633,0.8306019,670
0.37124255,0.85546046,0.80392236,0.9084377,0.85282177,675
0.3789281,0.85192186,0.8064504,0.902966,0.8519187,680
0.35959223,0.8615057,0.814703,0.90700203,0.8582656,685
0.43210495,0.8327205,0.7753041,0.89102954,0.8289768,690
0.3769724,0.8542289,0.80588126,0.9030977,0.85168034,695
0.43071198,0.8290663,0.77575135,0.8886419,0.82831097,700
0.37790146,0.845854,0.8007539,0.9022804,0.84841895,705
0.41025814,0.8375338,0.7859986,0.89103127,0.8351595,710
0.41465095,0.8430647,0.7897852,0.8953832,0.8390886,715
0.3643349,0.85619277,0.81157774,0.9083893,0.85719705,720
0.38634393,0.85167426,0.7977684,0.9096305,0.8498328,725
0.4155968,0.8348797,0.77804595,0.89432955,0.8321014,730
0.39027688,0.84739166,0.7978897,0.89821887,0.8450169,735
0.40634403,0.84035033,0.7869095,0.8989187,0.8390228,740
0.37326512,0.8525589,0.8068908,0.90202713,0.85165477,745
0.34890595,0.8674117,0.8225568,0.9088393,0.8633383,750
0.3944849,0.8474863,0.79672384,0.89983916,0.8450241,755
0.36126253,0.86072135,0.81349134,0.90787524,0.85803264,760
0.4242084,0.8314552,0.77881604,0.8897074,0.8303285,765
0.38094485,0.8458457,0.8002038,0.9003224,0.84726435,770
0.35853943,0.86321115,0.81528425,0.9109893,0.8602841,775
0.38468084,0.8473639,0.79954225,0.8993633,0.84643024,780
0.3570957,0.860804,0.81375664,0.90950125,0.85882545,785
0.39171788,0.8456669,0.7932942,0.899153,0.84276414,790
0.40906176,0.8397088,0.7839258,0.89634794,0.8363325,795
0.4189806,0.8306956,0.77440697,0.8936164,0.8296464,800
0.39836207,0.8454297,0.79461664,0.8983659,0.8432012,805
0.4158231,0.8349114,0.7815072,0.8911881,0.8326675,810
0.38793883,0.8449877,0.78938836,0.9069641,0.84395474,815
0.39054295,0.84535724,0.796222,0.9045456,0.84681004,820
0.4279989,0.8280809,0.77384466,0.8901882,0.827806,825
0.40027916,0.84372807,0.7883006,0.89909554,0.8399985,830
0.3714509,0.85602003,0.80487436,0.9106768,0.85447735,835
0.37436584,0.8538563,0.80765826,0.90814424,0.85479873,840
0.36047074,0.85536915,0.80449194,0.9074888,0.8527954,845
0.37545726,0.84944814,0.797545,0.9047308,0.84753436,850
0.39028648,0.84893674,0.7953558,0.90497226,0.84647465,855
0.37964687,0.8514728,0.7999408,0.91111976,0.8517327,860
0.39304018,0.84915096,0.801424,0.8955659,0.8456791,865
0.40480372,0.8333799,0.7811837,0.8931131,0.8332619,870
0.4231412,0.83552116,0.78163624,0.8917322,0.8329901,875
0.38567162,0.8496552,0.795857,0.90472746,0.84670013,880
0.42452154,0.8283782,0.7754571,0.8888755,0.8282471,885
0.4018494,0.8374148,0.7894643,0.8919368,0.8373863,890
0.3910301,0.84886056,0.8040163,0.90110373,0.8497254,895
0.38075697,0.85414743,0.8059895,0.9072273,0.8535561,900
0.36857054,0.85225147,0.80256706,0.9078746,0.8518502,905
0.41848007,0.82914996,0.77184683,0.89200634,0.82735306,910
0.44905648,0.8207535,0.7635436,0.8787231,0.81693953,915
0.4370508,0.8260909,0.7661939,0.8946064,0.8252943,920
0.39826834,0.8476307,0.79260373,0.9067392,0.84571797,925
0.41043797,0.83989316,0.7862468,0.8994534,0.83895373,930
0.37703454,0.8532005,0.798925,0.91035074,0.8508765,935
0.4459146,0.82578325,0.7717931,0.88128716,0.8228228,940
0.41281918,0.8361321,0.78551483,0.8945249,0.83646584,945
0.4228917,0.82825017,0.7690739,0.89502484,0.82724094,950
0.45650682,0.8192356,0.75823164,0.8879673,0.8176878,955
0.4211577,0.83502126,0.7776439,0.894742,0.8320342,960
0.37194252,0.8512803,0.7979953,0.9053791,0.8482159,965
0.4379674,0.8294311,0.77275324,0.8914733,0.82774836,970
0.418553,0.8387428,0.7831914,0.89977145,0.837334,975
0.43872032,0.8303661,0.767137,0.89388686,0.82565355,980
0.42676297,0.82883054,0.7740488,0.8904206,0.828034,985
0.39685908,0.84754175,0.7925574,0.9042286,0.8446989,990
0.37680778,0.85105485,0.8018806,0.90418005,0.84986275,995
0.43740046,0.83180803,0.7737213,0.88940233,0.82749677,1000
0.46639204,0.8185089,0.76412994,0.87402326,0.81536,1005
0.38460734,0.8558925,0.8042393,0.9109543,0.8541178,1010
0.38410282,0.85541624,0.8008476,0.9130724,0.853174,1015
0.41580307,0.8357118,0.7762999,0.8894353,0.82891273,1020
0.45033607,0.8256882,0.7673879,0.8824608,0.82077575,1025
0.37609503,0.8514841,0.8024989,0.904743,0.85053164,1030
0.42582813,0.8315666,0.77838033,0.8907599,0.8306425,1035
0.37344673,0.8470542,0.80022496,0.9028699,0.84832525,1040
0.42549202,0.8403952,0.7874224,0.89678335,0.8383854,1045
0.43229386,0.8311696,0.77660275,0.8960143,0.8318375,1050
0.44200936,0.8276911,0.7655943,0.8886802,0.8224558,1055
0.42598537,0.8336776,0.7741318,0.8954403,0.8301008,1060
0.4125603,0.83411837,0.77771235,0.89108497,0.83030057,1065
0.44061852,0.8266647,0.7679053,0.8876888,0.82340413,1070
0.43095613,0.82775635,0.7684248,0.8940343,0.8263521,1075
0.45140803,0.8235038,0.7625075,0.88771373,0.82024425,1080
0.3896471,0.85170263,0.8000348,0.9114358,0.85196275,1085
0.4311924,0.82950115,0.7720981,0.8896713,0.82671195,1090
0.4246926,0.82875437,0.77035934,0.8893111,0.8255089,1095
0.42795143,0.8332184,0.7841218,0.8844154,0.8311732,1100
0.41453588,0.83581924,0.77736473,0.8991561,0.833612,1105
0.40355882,0.8459318,0.79666305,0.8978679,0.8441494,1110
0.46407422,0.81403285,0.75903505,0.8741661,0.8122662,1115
0.4470873,0.8249888,0.7631233,0.88609767,0.81977576,1120
0.38449335,0.8470595,0.7936719,0.90783596,0.84676796,1125
0.41819453,0.8309564,0.7755515,0.8871358,0.8275611,1130
0.41962644,0.83324003,0.7706094,0.8972977,0.82893676,1135
0.39304736,0.84581614,0.79520637,0.9002326,0.84439325,1140
0.3984982,0.8403649,0.7818775,0.9015214,0.8372721,1145
0.45378304,0.8211885,0.76933616,0.8792212,0.8205784,1150
0.46067187,0.811873,0.7476358,0.882184,0.8092404,1155
0.44033828,0.82484406,0.76818514,0.88814765,0.82367754,1160
0.4204552,0.8377575,0.7753613,0.8957377,0.8310232,1165
0.43929562,0.82358414,0.76927567,0.8832789,0.8223073,1170
0.45790258,0.82112676,0.76838,0.87940735,0.82009196,1175
0.44539884,0.82297873,0.7631044,0.88236475,0.8183122,1180
0.44175124,0.8229551,0.7629711,0.8873906,0.8204395,1185
0.4142414,0.839243,0.78299683,0.8977222,0.83630204,1190
0.42318773,0.83099097,0.7748995,0.8942518,0.83021826,1195
0.41995177,0.83166194,0.7760806,0.89200234,0.82993907,1200
0.4364656,0.8272691,0.7722935,0.89248174,0.8279496,1205
0.45061898,0.8215433,0.76499194,0.8847453,0.82043797,1210
0.42201614,0.83473724,0.7782552,0.89808303,0.8338518,1215
0.40085098,0.84078234,0.78552777,0.90682226,0.84181595,1220
0.4234475,0.8263951,0.77441174,0.8856394,0.82608366,1225
0.47151685,0.8100179,0.7448494,0.8787367,0.8060228,1230
0.40842333,0.8374168,0.7835718,0.89596766,0.8359305,1235
0.37851354,0.85445493,0.8042643,0.9062495,0.8521953,1240
0.43533173,0.8298916,0.7754288,0.88841254,0.8279629,1245
0.39744315,0.8443262,0.79417557,0.89775974,0.84277076,1250
0.3796326,0.8546714,0.8067146,0.90619177,0.8534989,1255
0.37453035,0.8536915,0.79827315,0.9079111,0.8494902,1260
0.38468647,0.8500741,0.7968095,0.90568465,0.84758806,1265
0.4166259,0.83738804,0.78473717,0.89390016,0.8357164,1270
0.4631795,0.8194632,0.7572847,0.88202024,0.81478786,1275
0.3949448,0.8431849,0.79146546,0.89856553,0.8415286,1280
0.42773876,0.83054775,0.77421993,0.8904306,0.82817286,1285
0.3915299,0.84976095,0.79767746,0.9037202,0.8473744,1290
0.44721022,0.8238842,0.76144344,0.886887,0.8191898,1295
0.3610928,0.8575366,0.81097525,0.9062069,0.8558428,1300
0.41104665,0.8358565,0.7787356,0.90144664,0.83551884,1305
0.46455756,0.8188142,0.7606513,0.8832271,0.8171766,1310
0.45520246,0.82104397,0.76261115,0.883444,0.81843996,1315
0.40245673,0.83834916,0.78441983,0.89615107,0.83640426,1320
0.42500177,0.8378725,0.7782102,0.90047455,0.83474594,1325
0.42433515,0.83669424,0.77797484,0.89432305,0.8320802,1330
0.41065276,0.8455248,0.79234004,0.9007101,0.8429834,1335
0.41926828,0.82549816,0.77058715,0.88973504,0.82568955,1340
0.40807316,0.8383508,0.77718574,0.89960736,0.8337634,1345
0.42031482,0.83809716,0.781957,0.89793247,0.8358109,1350
0.45210585,0.8205611,0.7618806,0.8873405,0.8196613,1355
0.40680113,0.83978385,0.78454155,0.90135556,0.8387136,1360
0.43046054,0.82725334,0.76833016,0.88845706,0.82396555,1365
0.40273356,0.84056354,0.7822418,0.9023617,0.83795094,1370
0.40092656,0.84071976,0.7833641,0.8953128,0.8355401,1375
0.42908934,0.83006215,0.76942396,0.8915291,0.82586527,1380
0.42476258,0.8323572,0.77583146,0.89214396,0.829813,1385
0.4272517,0.83019686,0.7782726,0.88826895,0.8295284,1390
0.41846105,0.838037,0.7792382,0.8921538,0.83177114,1395
0.46072897,0.81283563,0.75158423,0.8775006,0.80960757,1400
0.39557564,0.8444043,0.79013115,0.90176994,0.8421211,1405
0.43567994,0.8282011,0.7713313,0.8823907,0.823041,1410
0.38016066,0.85147,0.8007397,0.90509874,0.8496442,1415
0.45039976,0.82169646,0.7642724,0.88055664,0.8182457,1420
0.4118618,0.8353276,0.7819961,0.89806724,0.83583426,1425
